Assignment Name,Due Date,Number of Questions,Number of Points,Assignment Type,Hints Permitted,Attempts,LMS Link
Reading Activity 12.1 You Decide: State v. Sandoval,11/8/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144870
Reading Activity 12.2 You Decide: People v. Yarbrough,11/8/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144871
Knowledge Check 12.1,11/8/2026 11:59 PM,8,8,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144744
Reading Activity 12.3 You Decide: Child v. State,11/8/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144872
Knowledge Check 12.2,11/8/2026 11:59 PM,4,4,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144745
Reading Activity 12.4 You Decide: Buckley v. State,11/8/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144873
Knowledge Check 12.3,11/8/2026 11:59 PM,4,4,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144746
Reading Activity 12.5 You Decide: People v. Stockwell,11/8/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144874
Knowledge Check 12.4,11/8/2026 11:59 PM,4,4,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144747
Chapter 12 Critical Thinking Check,11/8/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144833
Chapter 12 Quiz,11/8/2026 11:59 PM,15,15,Assigned for Grade,N,1,https://vantage.sagepub.com/ltiapi/29144702
Self-Assessment 13.1 Test Your Knowledge,11/15/2026 11:59 PM,7,5,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144826
Reading Activity 13.1 You Decide: Carter v. Commonwealth,11/15/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144875
Knowledge Check 13.1,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144748
Reading Activity 13.2 You Decide: People v. Redondo,11/15/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144876
Knowledge Check 13.2,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144749
Knowledge Check 13.3,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144893
Knowledge Check 13.4,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144894
Reading Activity 13.3 You Decide: State v. Schwartz,11/15/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144985
Knowledge Check 13.5,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144895
Reading Activity 13.4 You Decide: United States v. Drew,11/15/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144986
Knowledge Check 13.6,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144896
Reading Activity 13.5 You Decide: Sonnier v. State,11/15/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144987
Knowledge Check 13.7,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144897
Reading Activity 13.6 You Decide: United States v. McGovern,11/15/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144988
Knowledge Check 13.8,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144898
Knowledge Check 13.9,11/15/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144899
Knowledge Check 13.10,11/15/2026 11:59 PM,1,1,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144900
Knowledge Check 13.11,11/15/2026 11:59 PM,1,1,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144901
Chapter 13 Critical Thinking Check,11/15/2026 11:59 PM,11,11,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144980
Chapter 13 Quiz,11/15/2026 11:59 PM,15,15,Assigned for Grade,N,1,https://vantage.sagepub.com/ltiapi/29144884
Self-Assessment 14.1 Test Your Knowledge,11/22/2026 11:59 PM,10,5,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144977
Knowledge Check 14.1,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144902
Knowledge Check 14.2,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144903
Knowledge Check 14.3,11/22/2026 11:59 PM,4,4,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144904
Knowledge Check 14.4,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144905
Knowledge Check 14.5,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144906
Knowledge Check 14.6,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144907
Knowledge Check 14.7,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144908
Knowledge Check 14.8,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144909
Reading Activity 14.1 You Decide: Rajak K. Gupta,11/22/2026 11:59 PM,4,4,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144989
Knowledge Check 14.9,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144910
Chapter 14 Critical Thinking Check,11/22/2026 11:59 PM,9,9,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144981
Chapter 14 Quiz,11/22/2026 11:59 PM,15,15,Assigned for Grade,N,1,https://vantage.sagepub.com/ltiapi/29144885
Self-Assessment 15.1 Test Your Knowledge,11/22/2026 11:59 PM,7,5,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144978
Knowledge Check 15.1,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144911
Knowledge Check 15.2,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144912
Knowledge Check 15.3,11/22/2026 11:59 PM,6,6,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144913
Knowledge Check 15.4,11/22/2026 11:59 PM,6,6,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144914
Knowledge Check 15.5,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144915
Knowledge Check 15.6,11/22/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144916
Chapter 15 Critical Thinking Check,11/22/2026 11:59 PM,6,6,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144982
Chapter 15 Quiz,11/22/2026 11:59 PM,15,15,Assigned for Grade,N,1,https://vantage.sagepub.com/ltiapi/29144886
Self-Assessment 16.1 Test Your Knowledge,12/4/2026 11:59 PM,8,5,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144979
Knowledge Check 16.1,12/4/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144917
Knowledge Check 16.2,12/4/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144918
Knowledge Check 16.3,12/4/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144919
Knowledge Check 16.4,12/4/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144920
Knowledge Check 16.5,12/4/2026 11:59 PM,8,8,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144921
Knowledge Check 16.6,12/4/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144922
Knowledge Check 16.7,12/4/2026 11:59 PM,2,2,Assigned for Grade,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144923
Chapter 16 Critical Thinking Check,12/4/2026 11:59 PM,7,7,Assigned for Completion,N,Unlimited,https://vantage.sagepub.com/ltiapi/29144983
Chapter 16 Quiz,12/4/2026 11:59 PM,15,15,Assigned for Grade,N,1,https://vantage.sagepub.com/ltiapi/29144887
